date,Open,High,Low,Close,Volume,symbol
2025-12-16,643.5,662.5399780273438,643.2000122070312,657.1500244140625,14309100,META
2025-12-17,655.6099853515625,661.22998046875,649.2000122070312,649.5,15598500,META
2025-12-18,657.030029296875,670.5599975585938,656.4600219726562,664.4500122070312,20260300,META
2025-12-19,666.4199829101562,671.0,658.1799926757812,658.77001953125,49977100,META
2025-12-22,661.6500244140625,673.5800170898438,656.6500244140625,661.5,15659400,META
2025-12-23,660.0499877929688,666.0,658.25,664.9400024414062,8486800,META
2025-12-24,662.530029296875,668.1799926757812,662.2000122070312,667.5499877929688,5627500,META
2025-12-26,668.0599975585938,668.9500122070312,661.3200073242188,663.2899780273438,7133800,META
2025-12-29,658.010009765625,660.25,654.3900146484375,658.6900024414062,8506500,META
2025-12-30,658.6900024414062,672.219970703125,657.8400268554688,665.9500122070312,9187500,META
2025-12-31,664.75,665.0,659.4400024414062,660.0900268554688,7940400,META
2026-01-02,662.72998046875,664.3900146484375,643.5,650.4099731445312,13726500,META
2026-01-05,651.010009765625,664.5399780273438,647.75,658.7899780273438,12213700,META
2026-01-06,659.5700073242188,665.52001953125,651.9000244140625,660.6199951171875,11074400,META
2026-01-07,655.6400146484375,659.1500244140625,644.8099975585938,648.6900024414062,12846300,META
2026-01-08,645.8800048828125,647.0999755859375,635.719970703125,646.0599975585938,11921700,META
2026-01-09,645.4400024414062,654.9500122070312,642.8499755859375,653.0599975585938,11634900,META
2026-01-12,652.530029296875,653.969970703125,641.22998046875,641.969970703125,14797200,META
2026-01-13,642.27001953125,642.27001953125,624.0999755859375,631.0900268554688,18030400,META
2026-01-14,626.5,628.4500122070312,614.8200073242188,615.52001953125,15527900,META
2026-01-15,618.47998046875,624.1699829101562,614.22998046875,620.7999877929688,13076100,META
2026-01-16,624.1799926757812,629.0800170898438,620.0800170898438,620.25,17012500,META
2026-01-20,607.8800048828125,611.4000244140625,600.0,604.1199951171875,15169600,META
2026-01-21,606.739990234375,618.27001953125,600.0800170898438,612.9600219726562,14494700,META
2026-01-22,629.3499755859375,660.5700073242188,626.5499877929688,647.6300048828125,21394700,META
2026-01-23,644.77001953125,666.489990234375,644.4500122070312,658.760009765625,22797700,META
2026-01-26,665.1300048828125,675.280029296875,661.2899780273438,672.3599853515625,16327400,META
2026-01-27,674.5900268554688,676.8200073242188,664.6599731445312,672.969970703125,13297400,META
2026-01-28,674.5,677.6799926757812,666.0999755859375,668.72998046875,24896300,META
